subset,product,mean,sd,min,max,median,q.025,q.1,q.25,q.75,q.9,q.975,n
az,slope_chopping_agb,-0.0024563900425993196,0.1477191887038429,-36.365970611572266,35.108455657958984,0,-0.14362108707427979,0,0,0,0.024280067533254623,0.15076227486133575,4728701
az,slope_esa_agb,-0.19792180438590282,1.7820232318859988,-37.6815299987793,36.39490509033203,-0,-3.4968152046203613,-0.5509554147720337,-0,-0,-0,1.5,36617227
az,slope_liu_agb,-0.05540833860129161,0.08999637103377729,-0.5777348875999451,0.6986818313598633,-0.028940444812178612,-0.30278205201029773,-0.14548116326332095,-0.0766459982842207,-0.012779937824234366,1.600901716713242e-17,0.014642727142199859,492
az,slope_ltgnn_agb,0.0017280552112298156,0.41595810128504457,-11.367542266845703,8.627531051635742,0,-0.7829775810241699,-0.1505199819803238,0,0.035851120948791504,0.2298850566148758,0.6658456325531006,328081092
az,slope_xu_agb,0.033683989803717757,0.13818520255986755,-1.6262423992156982,1.0931650400161743,0.004967484623193741,-0.15985148027539253,-0.060408562421798706,-0.013540793675929308,0.061880530789494514,0.17635124921798706,0.35813870280981064,2991
forest,slope_chopping_agb,-0.031559205840446414,0.3302777364205738,-24.08571434020996,35.108455657958984,0,-0.8345903933048248,-0.18831168115139008,-0.007340485695749521,0.035573121160268784,0.14003388583660126,0.3726707994937897,773334
forest,slope_esa_agb,-0.7220161374431804,2.851073688560818,-34.75796127319336,27.267515182495117,0,-8.850318908691406,-3.1114649772644043,-0.9745222926139832,-0,0.5923566818237305,4.079617977142334,5930088
forest,slope_liu_agb,-0.07685947863790725,0.131588221038724,-0.5047224760055542,0.6986818313598633,-0.04256807640194893,-0.37225475907325745,-0.22184710204601288,-0.14057481288909912,-0.0011460476089268923,3.2462357194162905e-4,0.0702926516532898,161
forest,slope_ltgnn_agb,-0.0705916519951703,0.8044020971522094,-11.367542266845703,8.627531051635742,3.5881795306371897e-16,-2.244389772415161,-0.7468527555465698,-0.1789819449186325,0.1948549598455429,0.5519978404045105,1.3111658096313477,53078797
forest,slope_xu_agb,0.06320043403580453,0.21083302647296798,-1.6262423992156982,0.9758803248405457,0.058843307197093964,-0.30352383553981777,-0.11721057444810867,-0.0199961606413126,0.1634167581796646,0.27682396769523654,0.4540414631366727,693
grazing,slope_chopping_agb,-9.940878309181892e-5,0.11075858548805334,-36.365970611572266,35.108455657958984,0,-0.015245623886585236,0,0,0,0.008021390065550804,0.07114624232053757,2042279
grazing,slope_esa_agb,-0.09350455352313923,0.8602953377177031,-36.598724365234375,30.697452545166016,0,-1.640127420425415,-0,-0,-0,-0,0.19745223224163055,15684832
grazing,slope_liu_agb,-0.05638301503557047,0.06573353319220382,-0.44648489356040955,0.0702926516532898,-0.03839713707566261,-0.21869347542524337,-0.13743620067834855,-0.08085934445261955,-0.01103208540007472,8.836812623793131e-16,0.007897015754133459,330
grazing,slope_ltgnn_agb,0.017784755190861732,0.3194803437534981,-11.367542266845703,7.907225131988525,0,-0.4200875759124756,-0.07744937390089035,0,0.029282977804541588,0.19759167730808258,0.5265462398529053,140333744
grazing,slope_xu_agb,0.030798119477093412,0.11937206687615602,-0.8154110312461853,0.9758803248405457,0.006050661206245422,-0.16081632450222969,-0.06513632982969284,-0.015818096697330475,0.06221066042780876,0.17600814700126646,0.32149341702461254,1623
wilderness,slope_chopping_agb,-0.06143617241202055,0.44894795391356407,-24.08571434020996,35.108455657958984,0,-1.0694522857666016,-0.28684359788894653,-0.02258610911667347,0.023150762543082237,0.1146245077252388,0.343873530626297,111311
wilderness,slope_esa_agb,-0.45058506529167225,3.1934411978041615,-34.75796127319336,27.267515182495117,0,-7.9426751136779785,-3.1815285682678223,-1.2133758068084717,0.03503184765577316,2.0477707386016846,6.449044704437256,814822
wilderness,slope_liu_agb,-0.09850357995900272,0.1763317800887512,-0.5047224760055542,0.6986818313598633,-0.06649607419967651,-0.45629522427916525,-0.31792411804199217,-0.1958709880709648,-2.278956800160198e-16,0.0021940628532320264,0.18350611366331532,74
wilderness,slope_ltgnn_agb,-0.3205756907612817,0.9596790237700693,-11.28270435333252,8.627531051635742,-0.03420908749103546,-3.1031746864318848,-1.349753737449646,-0.4178982079029083,0.0752599909901619,0.3024083077907562,0.8377121090888977,7192568
wilderness,slope_xu_agb,0.026551285357684185,0.24076047535752154,-1.6262423992156982,0.5593328475952148,0.0429649967700243,-0.5758375495672226,-0.15932526141405104,-0.030806221999228,0.13219141215085983,0.26363011300563816,0.381080886721611,232
